Survived,SibSp,Parch,Has_Cabin,Sex_Encoded,Pclass_Encoded,Embarked_Q,Embarked_S,Age_Scaled,Fare_Log_Scaled
0,1,0,0,1,1,0,1,-0.5834320775681558,-0.937738268996525
1,1,0,1,0,3,0,0,0.742685221190076,1.5630645439328383
1,0,0,0,0,1,0,1,-0.2519027528785979,-0.843592637875174
1,1,0,1,0,3,0,1,0.4940382276729075,1.3135995861484342
0,0,0,0,1,1,0,1,0.4940382276729075,-0.8269425125655973
0,0,0,0,1,1,1,0,-0.08613809053381893,-0.7741159067902044
0,0,0,1,1,3,0,1,2.0688025199483078,1.2858981406057086
0,3,1,0,1,1,0,1,-2.199637535429751,0.24051083407961027
1,0,2,0,0,1,0,1,-0.16902042170620843,-0.47595873819643225
1,1,0,0,0,2,0,0,-1.2464907269472718,0.6497152650803806
1,1,1,1,0,1,0,1,-2.075314038671167,-0.023911397356665767
1,0,0,1,0,3,0,1,2.1102436855345026,0.5057419413731775
0,0,0,0,1,1,0,1,-0.7491967399129349,-0.8269425125655973
0,1,5,0,1,1,0,1,0.8255675523624655,0.6952352921999051
0,0,0,0,0,1,0,1,-1.2464907269472718,-0.8531270238554911
1,0,0,0,0,2,0,1,2.1102436855345026,-0.0722169303782028
0,4,1,0,1,1,1,0,-2.199637535429751,0.6127084536079945
1,0,0,0,1,2,0,1,-0.08613809053381893,-0.3046458931962617
0,1,0,0,0,1,0,1,0.16250890298334955,0.060934025989985284
1,0,0,0,0,1,0,0,-0.08613809053381893,-0.9413714272077109
0,0,0,0,1,2,0,1,0.4940382276729075,0.48160111997292887
1,0,0,1,1,2,0,1,0.41115589650051804,-0.3046458931962617
1,0,0,0,0,1,1,0,-1.1636083957748824,-0.8296970819038674
1,0,0,1,1,3,0,1,-0.08613809053381893,0.8425047648077887
0,3,1,0,0,1,0,1,-1.7437847139816087,0.24051083407961027
1,1,5,0,0,1,0,1,0.742685221190076,0.6994008183071385
0,0,0,0,1,1,0,0,-0.08613809053381893,-0.9413714272077109
0,3,2,1,1,3,0,1,-0.8320790710853244,1.5630645439328383
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.8497516826778134
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8475157022567751
0,0,0,0,1,3,0,0,0.908449883534855,0.5555651505841092
1,1,0,1,0,3,0,0,-0.08613809053381893,1.5630645439328383
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.8672988523685876
0,0,0,0,1,2,0,1,2.1102436855345026,-0.5401326474896715
0,1,0,0,1,3,0,0,-0.08613809053381893,1.5630645439328383
0,1,0,0,1,3,0,1,1.074214545879634,1.2890079243426653
1,0,0,0,1,1,0,0,-0.08613809053381893,-0.9407602855054759
0,0,0,0,1,1,0,1,-0.6663144087405454,-0.8269425125655973
0,2,0,0,0,1,0,1,-0.9149614022577138,0.060934025989985284
1,1,0,0,0,1,0,0,-1.2464907269472718,-0.46531101107806416
0,1,0,0,0,1,0,1,0.908449883534855,-0.6518909067886722
0,1,0,0,0,2,0,1,-0.16902042170620843,0.2364366677703862
0,0,0,0,1,1,0,0,-0.08613809053381893,-0.8475157022567751
1,1,2,0,0,2,0,0,-2.1581963698435565,1.026926148912604
1,0,0,0,0,1,1,0,-0.8320790710853244,-0.8497516826778134
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8269425125655973
0,1,0,0,1,1,1,0,-0.08613809053381893,-0.1079546502830178
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.8672988523685876
0,2,0,0,1,1,0,0,-0.08613809053381893,0.2728361442823035
0,1,0,0,0,1,0,1,-0.9149614022577138,0.04826592140818334
0,4,1,0,1,1,0,1,-1.8266670451539984,0.9725228748597404
0,0,0,0,1,1,0,1,-0.6663144087405454,-0.8604776104843018
1,1,0,1,0,3,0,0,1.6543908640863605,1.5630645439328383
1,1,0,0,0,2,0,1,-0.003255759361429436,0.48160111997292887
0,0,1,1,1,3,0,0,2.1102436855345026,1.4955270204022595
1,0,0,1,1,3,0,1,-0.08613809053381893,0.8425047648077887
1,0,0,0,0,2,0,1,-0.6663144087405454,-0.5401326474896715
0,0,0,0,1,1,0,0,-0.04469692494762418,-0.9407602855054759
1,1,2,0,0,2,0,1,-1.9924317074987772,0.5567816307650165
0,5,2,0,1,1,0,1,-1.4951377204644403,1.1678871447228634
0,0,0,0,1,1,0,0,-0.5834320775681558,-0.9407602855054759
1,0,0,1,0,3,0,1,0.742685221190076,1.5630645439328383
0,1,0,1,1,3,0,1,1.3228615393968024,1.5630645439328383
0,3,2,0,1,1,0,1,-2.075314038671167,0.563011261709795
0,0,0,0,1,3,0,0,-0.08613809053381893,0.5555651505841092
1,1,1,0,1,1,0,0,-0.08613809053381893,-0.12654116914341326
1,0,0,1,0,2,0,1,-0.003255759361429436,-0.5401326474896715
0,0,0,0,1,1,0,1,-0.8320790710853244,-0.8127017393839049
1,4,2,0,0,1,0,1,-0.9978437334301034,-0.843592637875174
0,2,0,0,1,1,0,1,-0.2519027528785979,-0.7485456210133309
0,0,0,0,1,2,0,1,0.24539123415573905,-0.5401326474896715
0,5,2,0,0,1,0,1,-1.0807260646024928,1.1678871447228634
0,0,0,0,1,2,0,1,-0.6663144087405454,1.5630645439328383
0,1,0,0,1,1,0,0,-0.2519027528785979,-0.18634186145862344
1,0,0,0,1,1,0,1,0.24539123415573905,1.3864778041319725
0,0,0,1,1,1,0,1,-0.3347850840509874,-0.8810590580251232
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8475157022567751
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8269425125655973
1,0,2,0,1,2,0,1,-2.199637535429751,0.6077307969074099
1,0,0,0,0,1,0,1,0.07962657181096006,-0.3504014515755686
0,0,0,0,1,1,0,1,-0.5834320775681558,-0.7074451224662006
1,0,0,0,1,1,0,1,-0.003255759361429436,-0.6490372112496652
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.862179280581389
0,0,0,0,1,3,0,1,-0.08613809053381893,1.1728751715715495
1,0,0,0,0,2,0,1,-0.9978437334301034,-0.5401326474896715
1,3,0,0,0,1,0,1,0.3282735653281285,-0.08282667230689421
0,1,3,0,1,1,0,1,-1.0807260646024928,0.8050264956334089
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8269425125655973
1,3,2,1,0,3,0,1,-0.5005497463957664,1.5630645439328383
0,0,0,0,1,1,0,1,-0.4176674152233769,-0.8269425125655973
0,0,0,0,1,1,0,1,-0.003255759361429436,-0.8269425125655973
0,0,0,0,1,1,0,1,-0.7491967399129349,-0.8531270238554911
0,1,0,1,1,3,0,1,1.405743870569192,1.4801421440879081
0,1,2,0,1,1,0,1,-0.2519027528785979,0.2130840969742818
0,0,0,0,1,1,0,1,2.1102436855345026,-0.937738268996525
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8269425125655973
0,0,0,1,1,3,0,0,2.1102436855345026,0.8144378065017644
1,0,1,1,1,3,0,0,-0.5005497463957664,1.5214584112961123
1,0,1,0,0,2,0,1,0.41115589650051804,0.3406001373662291
0,1,0,0,1,2,0,1,0.41115589650051804,0.48160111997292887
0,0,0,0,0,1,0,1,-0.08613809053381893,-0.8475157022567751
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8475157022567751
0,0,1,1,1,3,0,1,-0.6663144087405454,1.5630645439328383
0,0,0,0,1,1,0,1,0.3282735653281285,-0.7495743822115516
0,2,0,0,1,1,0,1,0.6598028900176865,-0.843592637875174
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8475157022567751
1,0,0,0,0,1,0,1,-0.6663144087405454,-0.8810590580251232
1,0,0,0,1,1,0,1,-0.08613809053381893,-0.8638833729854817
0,0,0,0,1,1,0,1,0.742685221190076,-0.8475157022567751
1,1,0,0,0,1,1,0,-0.08613809053381893,0.39663044162101224
0,0,0,1,1,3,0,1,1.4886262017415814,1.2890079243426653
0,1,0,0,0,1,0,0,-1.205049561361077,-0.18634186145862344
0,0,0,0,1,1,0,1,-0.5834320775681558,-0.8269425125655973
0,1,0,0,0,1,0,1,-0.7491967399129349,-0.6125452386400323
0,0,0,0,0,1,0,0,-0.9978437334301034,-0.18602430633711134
0,0,0,0,1,1,0,1,-0.6663144087405454,-0.843592637875174
0,0,0,0,1,1,1,0,2.1102436855345026,-0.8672988523685876
0,1,0,0,1,2,0,1,-0.003255759361429436,0.2364366677703862
0,0,1,1,1,3,0,0,-0.4176674152233769,1.5630645439328383
0,4,2,0,0,1,0,1,-2.199637535429751,0.6952352921999051
0,2,0,0,1,2,0,1,-0.6663144087405454,1.5630645439328383
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8269425125655973
0,1,0,0,1,2,0,0,0.2868323997419338,0.6497152650803806
1,0,0,1,0,2,0,1,0.2868323997419338,-0.3046458931962617
0,0,1,1,1,3,0,1,2.0688025199483078,1.5630645439328383
1,1,0,0,1,1,0,0,-1.4122553892920509,-0.46531101107806416
0,0,0,0,1,1,1,0,-0.08613809053381893,-0.8672988523685876
1,0,0,0,1,1,0,1,-0.4176674152233769,-0.9535573106851882
1,1,1,1,0,1,0,0,-0.08613809053381893,0.308156323034283
0,0,0,0,1,1,0,1,1.3228615393968024,-0.9783226542734366
0,0,0,0,1,1,0,0,0.3282735653281285,-0.8475157022567751
0,0,0,0,1,1,0,1,-0.7491967399129349,-0.9671170369332387
0,1,0,0,0,1,0,1,1.4886262017415814,-0.18279931461148358
1,1,0,0,0,2,0,1,-0.003255759361429436,0.48160111997292887
0,0,0,0,1,2,0,1,-0.3347850840509874,-0.3046458931962617
0,0,0,0,1,2,0,0,-0.5005497463957664,-0.14137028903088436
1,0,2,1,0,3,0,1,-0.8320790710853244,0.4940966207989421
0,1,0,1,1,3,0,1,0.6598028900176865,1.3135995861484342
0,0,0,0,1,1,0,1,-1.0807260646024928,-0.6817805124294869
0,0,0,1,1,3,0,0,-0.4176674152233769,1.5630645439328383
0,0,2,0,0,1,0,0,-0.08613809053381893,-0.12654116914341326
1,0,0,0,0,1,0,1,-0.5834320775681558,-0.8672988523685876
1,1,0,0,0,1,0,1,-0.4176674152233769,-0.08282667230689421
0,0,0,0,1,1,1,0,-0.8320790710853244,-1.0125829333249907
0,0,0,0,1,2,0,1,-0.9149614022577138,-0.4403144629250198
0,1,1,0,1,2,0,1,-0.8320790710853244,0.8828158027352466
1,0,0,0,1,1,0,1,-0.16902042170620843,-0.8610491018498265
0,2,2,0,0,1,0,1,-1.6609023828092193,0.8050264956334089
0,0,2,1,1,2,0,1,0.6183617244314917,0.48160111997292887
0,0,0,0,1,2,0,1,1.074214545879634,-0.3046458931962617
0,0,0,0,1,2,0,1,1.8201555264311393,-0.34596765127857965
1,1,0,1,0,3,0,1,-0.5834320775681558,1.5630645439328383
0,0,0,0,1,1,0,1,2.1102436855345026,-0.8269425125655973
0,0,2,0,1,1,0,1,0.9498910491210497,-0.18279931461148358
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.9287033226259085
0,0,1,0,1,3,0,0,1.8201555264311393,1.484067392456052
1,0,0,0,0,1,1,0,-1.0807260646024928,-0.8695858335181553
0,0,0,0,1,1,0,1,0.07962657181096006,-0.8269425125655973
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.7485456210133309
0,8,2,0,1,1,0,1,-0.08613809053381893,1.5630645439328383
0,0,1,0,1,1,0,1,1.239979208224413,-0.06519565094449518
1,0,0,0,0,2,0,1,0.908449883534855,-0.08995243567797803
0,0,0,0,1,1,0,1,-0.2519027528785979,-0.8638833729854817
0,0,0,0,1,1,0,1,-0.9978437334301034,-0.7485456210133309
0,4,1,0,1,1,0,1,-2.199637535429751,0.9725228748597404
1,0,2,0,1,1,0,1,-1.6609023828092193,0.21030654419292308
1,0,1,1,0,3,0,1,-0.08613809053381893,1.3549213442307533
0,1,4,0,0,1,0,1,1.3228615393968024,0.563011261709795
0,0,0,0,1,3,0,1,-0.08613809053381893,0.4782711464440595
0,0,0,0,1,1,0,1,-0.08613809053381893,1.3864778041319725
0,0,0,1,1,3,0,1,2.1102436855345026,0.7750432718839395
0,4,1,0,1,1,1,0,-2.075314038671167,0.6127084536079945
1,1,1,0,0,1,0,1,-2.199637535429751,-0.47595873819643225
0,0,0,0,1,1,0,1,-0.6663144087405454,-0.843592637875174
0,0,0,1,1,3,0,0,2.1102436855345026,0.673556852006697
0,1,1,0,1,1,0,1,-0.9149614022577138,-0.8531270238554911
0,3,1,0,1,1,0,1,-0.08613809053381893,0.457719048244695
0,0,0,1,0,3,0,0,1.73727319525875,0.5962030258656243
0,0,0,0,1,2,0,1,0.07962657181096006,-0.3046458931962617
0,0,0,0,1,1,0,1,0.576920558845297,-3.4639266381479032
0,8,2,0,0,1,0,1,-0.08613809053381893,1.5630645439328383
0,0,0,0,1,2,0,0,-0.08613809053381893,-0.14105698175591644
0,4,2,0,1,1,0,1,-1.6609023828092193,0.6994008183071385
1,2,1,1,1,2,0,1,-2.199637535429751,0.9521221149608133
1,0,2,0,0,1,0,1,-2.075314038671167,0.29095148706247276
0,0,0,1,1,3,0,1,-0.08613809053381893,1.2429589889954076
1,1,0,0,0,1,1,0,-0.08613809053381893,-0.1079546502830178
1,0,0,0,1,3,0,1,1.3228615393968024,0.5057419413731775
0,1,1,0,1,1,1,0,0.908449883534855,-0.1079546502830178
0,0,0,0,1,1,0,1,0.576920558845297,-0.8475157022567751
1,0,0,0,0,2,0,1,0.24539123415573905,-0.3046458931962617
0,0,0,0,1,2,0,1,-0.8320790710853244,-0.3046458931962617
1,1,0,0,0,1,0,1,-0.8320790710853244,-0.8531270238554911
1,1,1,1,1,2,0,1,-2.1581963698435565,0.48160111997292887
1,0,0,1,0,3,0,0,1.239979208224413,0.5555651505841092
1,0,0,1,0,3,0,0,2.1102436855345026,1.5630645439328383
0,0,0,0,1,1,1,0,-0.08613809053381893,-0.8672988523685876
0,0,1,0,1,1,0,1,1.074214545879634,-0.7809829312559444
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.8672988523685876
0,0,0,0,0,2,0,1,-0.4176674152233769,-0.3046458931962617
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.6490372112496652
0,8,2,0,1,1,0,1,-0.08613809053381893,1.5630645439328383
0,0,0,0,1,1,0,1,0.41115589650051804,-1.052507018137435
0,0,0,0,1,1,0,0,1.3643027049829972,-0.9413714272077109
1,0,0,0,1,1,0,1,-0.9149614022577138,-0.8269425125655973
0,0,1,1,0,1,0,1,-2.199637535429751,-0.5440426935734294
0,1,0,0,1,1,0,1,0.24539123415573905,-0.08282667230689421
1,0,0,0,1,1,0,0,-0.2519027528785979,0.10955099162433947
1,0,0,0,0,1,1,0,-1.0807260646024928,-0.8672988523685876
1,0,0,1,1,3,0,0,0.908449883534855,0.6849914554196326
0,0,0,0,1,1,0,1,-0.4176674152233769,-0.9671170369332387
1,0,0,0,0,2,0,1,0.4940382276729075,0.2364366677703862
0,0,0,0,1,1,0,1,-0.5834320775681558,-0.937738268996525
0,0,0,0,1,2,0,1,0.07962657181096006,-0.3046458931962617
0,1,0,0,1,1,1,0,-0.08613809053381893,-0.8672988523685876
1,1,0,1,0,3,0,0,0.16250890298334955,1.5630645439328383
1,0,0,0,0,1,0,1,-0.16902042170620843,-0.843592637875174
0,1,0,0,1,2,0,1,1.074214545879634,0.5251377255172456
1,0,0,1,0,3,0,0,0.24539123415573905,1.5630645439328383
0,0,0,0,1,2,0,1,0.07962657181096006,-0.5401326474896715
1,0,0,0,1,1,0,1,-1.0807260646024928,-0.8269425125655973
0,0,0,0,1,2,0,1,-0.16902042170620843,-0.3046458931962617
0,0,0,0,1,1,0,1,1.8201555264311393,-0.8269425125655973
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8475157022567751
1,1,0,1,1,3,0,1,0.742685221190076,1.5630645439328383
0,0,0,0,1,1,0,1,-0.5834320775681558,-0.6662623244241525
1,0,0,0,1,2,0,1,-0.8320790710853244,-0.5401326474896715
0,0,0,0,1,1,0,1,-0.7077555743267401,-0.937738268996525
0,0,0,0,1,2,0,1,-0.9149614022577138,-0.3046458931962617
0,3,1,0,0,1,0,1,-0.08613809053381893,0.457719048244695
1,1,0,1,0,3,0,1,0.4940382276729075,1.5630645439328383
0,0,0,0,1,1,0,1,-0.003255759361429436,-0.8638833729854817
0,0,0,0,1,2,0,1,2.1102436855345026,-0.2626372070830089
1,4,2,0,0,1,0,1,-1.9924317074987772,0.6994008183071385
0,0,0,0,1,2,0,1,-0.4176674152233769,-0.5401326474896715
0,0,0,0,0,1,0,1,-0.08613809053381893,-0.8949792696580025
0,1,0,0,1,2,0,1,1.239979208224413,0.48160111997292887
1,0,2,0,0,2,0,1,-1.7437847139816087,0.49263460555851546
0,0,0,0,1,2,0,1,-0.8320790710853244,-0.5401326474896715
0,0,0,0,1,2,0,1,0.3282735653281285,-0.36830271541006926
0,1,0,0,0,1,0,0,-0.08613809053381893,-0.18634186145862344
1,1,0,0,0,1,1,0,-0.08613809053381893,-0.1079546502830178
0,0,0,0,1,2,0,1,-0.003255759361429436,-0.5401326474896715
0,0,0,0,1,1,0,1,-0.5834320775681558,-0.9560153371699237
0,0,0,0,1,1,0,0,0.07962657181096006,-0.9413714272077109
0,2,0,1,1,3,1,0,1.239979208224413,1.5630645439328383
0,0,0,0,0,1,0,1,-0.3347850840509874,-0.8638833729854817
1,0,2,0,0,2,0,1,-0.4176674152233769,-0.18279931461148358
1,1,1,1,1,3,0,1,0.6598028900176865,1.3014607886643448
0,1,0,0,1,2,0,1,2.0688025199483078,0.48160111997292887
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.937738268996525
0,1,1,1,0,1,0,1,-0.003255759361429436,-0.5440426935734294
0,0,0,1,1,3,0,1,2.1102436855345026,0.5057419413731775
0,1,0,0,1,1,0,1,0.07962657181096006,-0.06519565094449518
0,0,2,0,0,1,0,1,0.9913322147072445,0.19279928991137246
1,0,2,0,0,1,0,0,-0.003255759361429436,-0.12654116914341326
1,0,0,0,0,3,0,0,-0.08613809053381893,1.5630645439328383
1,0,0,1,0,3,0,1,0.07962657181096006,1.5630645439328383
1,0,0,0,0,3,0,0,0.4940382276729075,1.5630645439328383
1,0,1,0,0,2,0,1,1.73727319525875,0.48160111997292887
0,0,0,0,1,1,1,0,-0.08613809053381893,-0.8672988523685876
1,4,2,0,1,1,0,1,-2.1581963698435565,0.6994008183071385
0,1,1,1,1,3,0,1,1.903037857603529,1.5630645439328383
0,0,0,1,1,3,0,1,0.908449883534855,-3.4639266381479032
0,0,0,0,0,1,1,0,-0.08613809053381893,-0.8672988523685876
0,0,0,0,1,2,0,1,0.576920558845297,-0.5401326474896715
0,4,1,0,1,1,0,1,-1.0807260646024928,0.9725228748597404
1,1,0,0,1,1,0,1,-0.3347850840509874,-0.8638833729854817
1,0,1,1,0,3,0,1,2.1102436855345026,1.5630645439328383
1,0,0,1,0,3,0,1,0.4940382276729075,1.5630645439328383
0,0,0,0,1,3,0,1,-0.08613809053381893,0.6849914554196326
1,0,0,0,1,1,0,1,-0.3347850840509874,-3.4639266381479032
1,0,1,0,0,2,0,1,0.9913322147072445,0.15189863297638764
0,0,1,1,1,3,0,0,0.6598028900176865,0.6353428051158762
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.8672988523685876
1,1,0,1,0,3,0,1,2.1102436855345026,1.5630645439328383
0,0,0,0,0,1,0,1,1.3228615393968024,-0.8672988523685876
0,0,0,0,1,2,0,1,-0.08613809053381893,-3.4639266381479032
0,4,1,0,1,1,1,0,-1.8266670451539984,0.6127084536079945
1,1,1,0,0,1,0,1,0.4940382276729075,0.19491372916297797
0,0,0,0,1,1,1,0,2.1102436855345026,-0.8672988523685876
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8531270238554911
0,0,0,0,1,1,0,1,-1.0807260646024928,-0.6490372112496652
1,0,0,0,1,1,0,1,-0.8320790710853244,-0.8269425125655973
0,0,0,1,1,3,0,1,-0.08613809053381893,0.48160111997292887
0,0,0,0,1,1,0,0,0.3282735653281285,-0.7485456210133309
1,0,0,0,1,1,0,1,0.07962657181096006,-0.6490372112496652
0,0,0,0,1,1,0,1,-0.5834320775681558,-0.8475157022567751
1,0,0,0,1,2,0,1,1.074214545879634,-0.3046458931962617
1,0,0,0,0,1,1,0,-0.5834320775681558,-0.8672988523685876
1,0,0,0,0,3,0,1,-0.2519027528785979,1.5630645439328383
1,1,0,1,0,3,0,0,-0.8320790710853244,1.5630645439328383
0,0,0,1,1,2,0,0,0.576920558845297,-0.31538250966396497
0,0,0,0,0,1,0,1,-0.4176674152233769,-0.7255380317727292
0,0,0,0,1,1,0,1,-0.4176674152233769,-0.8475157022567751
